Mode	Frequency	Participation X	Participation Y	Participation Z
1	149.5 Hz	2.07020007	0	59.7531974
2	149.5 Hz	59.7473025	0	2.07000002
3	591.6 Hz	0	0	0
4	594.8 Hz	0	0	0
5	674.1 Hz	0	0	0
6	674.5 Hz	0	0	0
7	823.2 Hz	0.865199976	0	19.6251005
8	823.3 Hz	19.6247995	0	0.865100045
9	967.7 Hz	0	0	0
10	1007 Hz	0	0	0
11	1007 Hz	0	0	0
12	1581 Hz	0	80.8328986	0
13	1595 Hz	0	0.0064	0
14	1596 Hz	0	0.0004	0
15	1712 Hz	0	0	0
16	1720 Hz	0	0	0
17	1780 Hz	0	0	0
18	1783 Hz	0	0	0
19	1849 Hz	0	0	0.0001
20	1861 Hz	0.0002	0	0
21	1993 Hz	0.519599998	0	6.59340024
22	1993 Hz	6.59189969	0	0.519399997
23	2020 Hz	0.0009	0	0
24	2023 Hz	0.0014	0	0.0001
25	2294 Hz	0	0	0
26	2300 Hz	0	0	0
27	2348 Hz	0	0	0
28	2350 Hz	0	0	0
29	2674 Hz	0	0	0
30	2677 Hz	0	0	0
31	2903 Hz	0	0	0
32	3146 Hz	0	0	0
33	3161 Hz	0	0	0
34	3197 Hz	0	0	0
35	3199 Hz	0	0	0

Sum		89.4215018	80.8396986	89.4263982
