Mode	Frequency	Participation X	Participation Y	Participation Z
1	134.6 Hz	0	0	0
2	181.7 Hz	0	0	0
3	211 Hz	31.1188996	0	0.0195
4	211.1 Hz	0.0197	0	31.031099
5	253.7 Hz	4.41429988	0	0.0317
6	254.7 Hz	0.034200001	0	4.59150001
7	270.4 Hz	0.0016	0	0.0001
8	327.8 Hz	0.0001	0.0001	0.0003
9	331.8 Hz	1.23640001	0	0.0421
10	333.5 Hz	0.038499999	0	1.18420003
11	357.2 Hz	0.0006	0.0001	0
12	399.7 Hz	0.0001	0	0
13	400.9 Hz	0	0	0
14	422.4 Hz	0	0	0
15	452.2 Hz	1.02920001	0	0.085200003
16	453.9 Hz	0.0825	0	1.01990001
17	523.9 Hz	0.0001	0	0
18	529.4 Hz	0.0002	0	0
19	571.9 Hz	0	0	0
20	586 Hz	0.0002	0	0
21	616.4 Hz	0.37169999	0	0.0028
22	621 Hz	0.0022	0	0.375199993
23	684 Hz	0.029299999	0	16.5248007
24	684.2 Hz	0.392499985	0	0.97500002
25	687.9 Hz	18.1514993	0	0.0012
26	688.8 Hz	0.153200002	0	0.0272
27	740.8 Hz	17.9900005	0	0.25559999
28	741.1 Hz	0.238800002	0	18.9152002
29	753.3 Hz	0.0051	0	0.422899984
30	758.2 Hz	0.181399996	0	0.0076
31	788.7 Hz	0	0	0.0001
32	826.8 Hz	0.306300004	0	0.0005
33	834.3 Hz	0.0005	0	0.289599993
34	838.6 Hz	0	0	0.0136
35	846.4 Hz	0.0002	0	0.0053
36	851.1 Hz	0.003	0	0.0008
37	888.3 Hz	0.0001	0	0.0001
38	932.7 Hz	0	0	0.0001
39	984.9 Hz	0.0005	0	0.0013
40	991.2 Hz	0.0008	0	0.0005
41	1027 Hz	0	0	0
42	1030 Hz	0	0	0.0009
43	1042 Hz	0	0	0.0001
44	1051 Hz	0	0	0.0001
45	1084 Hz	0.3516	0	0.0001
46	1096 Hz	0.0001	0	0.349600008
47	1142 Hz	0	0	0.0004
48	1166 Hz	0.0001	0	0.0002
49	1171 Hz	0.0001	0	0.0006
50	1177 Hz	0.0013	0	0.0002

Sum		76.1568993	0.0002	76.1771999
