Mode	Frequency	Participation X	Participation Y	Participation Z
1	557.3 Hz	1.08949998	0	62.2784019
2	557.4 Hz	62.2550011	0	1.08890003
3	674.9 Hz	0	0	0
4	683.3 Hz	0	0	0
5	1296 Hz	0	0	0
6	1299 Hz	0	0	0
7	1921 Hz	0.0001	0	0
8	1934 Hz	0	0	0
9	1942 Hz	0.0001	0	0.0001
10	2201 Hz	0.0014	0	0.0002
11	2214 Hz	0	0	0
12	2455 Hz	0.136899995	0	21.9629005
13	2456 Hz	21.9648004	0	0.136600004
14	2734 Hz	0	0.0008	0.0001
15	2747 Hz	0	0	0
16	2826 Hz	0	0.0001	0
17	2850 Hz	0	0	0.0003
18	3161 Hz	0	80.4094017	0
19	3774 Hz	0	0	0
20	3806 Hz	0	0	0
21	3888 Hz	0	0	0
22	3958 Hz	0	0	0
23	4280 Hz	0	0	0
24	4339 Hz	0	0	0
25	4503 Hz	0	0	0
26	4517 Hz	0	0	0
27	4855 Hz	0	0	0.0001
28	4904 Hz	0	0	0
29	5010 Hz	0.0001	0	0.0002
30	5049 Hz	0	0	0
31	5271 Hz	0.039900001	0	5.99800013
32	5273 Hz	6.00599982	0	0.0398
33	5594 Hz	0	0	0.0001
34	5718 Hz	0	0	0
35	5805 Hz	0	0	0

Sum		91.4938012	80.4103017	91.5057025
