Mode	Frequency	Participation X	Participation Y	Participation Z
1	675.6 Hz	40.8618987	0	22.0944002
2	675.7 Hz	22.0942006	0	40.8596992
3	1667 Hz	0	0	0
4	2297 Hz	0	0	0
5	2340 Hz	0	0	0
6	2571 Hz	0	0	0
7	2804 Hz	17.2299996	0	3.35029997
8	2804 Hz	3.35070007	0	17.2289997
9	2850 Hz	0	0	0
10	3000 Hz	0	0	0
11	3604 Hz	0	0	0
12	4242 Hz	0	80.3562999	0
13	4381 Hz	0.0009	0	0.0025
14	4389 Hz	2.14399993	0	1.01140002
15	4389 Hz	1.00929998	0	2.14070007
16	5136 Hz	0.432700012	0	0.592399994
17	5136 Hz	0.591999991	0	0.432199985
18	5324 Hz	0	0	0
19	5328 Hz	0.0003	0	0.0042
20	5328 Hz	0.0042	0	0.0003
21	5862 Hz	0	0	0
22	5875 Hz	0.061599998	0	0.135399995
23	5875 Hz	0.135599996	0	0.0612
24	5988 Hz	1.36770001	0	0.021
25	5988 Hz	0.021	0	1.36839999
26	6457 Hz	0	0	0
27	6658 Hz	0	0	0
28	6759 Hz	0.1162	0	0.170599995
29	6759 Hz	0.170499994	0	0.115899998
30	7100 Hz	0	0.031800001	0
31	7402 Hz	0	0.259199995	0
32	7603 Hz	0	0.001	0
33	7773 Hz	0	0	0
34	7809 Hz	0.167200004	0	0.213799998
35	7810 Hz	0.2141	0	0.167000003
36	7950 Hz	0	0.0035	0
37	8447 Hz	0	0	0
38	8885 Hz	2.20359992	0	0.257700006
39	8885 Hz	0.257500005	0	2.20289994
40	9049 Hz	0.085499999	0	0.117399998
41	9051 Hz	0.116400002	0	0.085499999
42	9099 Hz	0	0	0.0002
43	9305 Hz	0	0	0
44	9552 Hz	0	0	0
45	9857 Hz	0	0	0
46	9960 Hz	0	0.001	0
47	10505 Hz	0.056299998	0	0.095900003
48	10507 Hz	0.095999998	0	0.056499999
49	11012 Hz	0	0.003	0
50	11054 Hz	0	0	0

Sum		92.7893987	80.6557999	92.7864992
