Mode	Frequency	Participation X	Participation Y	Participation Z
1	48.96 Hz	66.4898992	0	0.310399989
2	49.09 Hz	0.310999993	0	66.5252984
3	81.71 Hz	0	0	0
4	1251 Hz	32.7933997	0.0001	0.249599991
5	1258 Hz	0.248900009	0.033800001	32.7470988
6	1277 Hz	0	99.0951002	0.0113
7	7023 Hz	0	0	0
8	7033 Hz	0	0	0
9	7534 Hz	0	0	0
10	7534 Hz	0	0	0
11	8357 Hz	0	0	0
12	8392 Hz	0	0	0
13	9953 Hz	0.0006	0	0
14	9955 Hz	0	0	0.0006
15	9996 Hz	0.0007	0	0
16	9998 Hz	0	0	0.0006
17	10348 Hz	0	0.101799995	0
18	11160 Hz	0	0	0
19	11181 Hz	0	0	0
20	11459 Hz	0	0	0
21	11462 Hz	0	0	0
22	11982 Hz	0.0001	0	0
23	11983 Hz	0	0	0.0001
24	12189 Hz	0	0	0
25	12308 Hz	0	0	0
26	12312 Hz	0	0	0
27	12329 Hz	0	0	0
28	12528 Hz	0.0029	0	0.0002
29	12530 Hz	0.0002	0	0.003
30	12864 Hz	0	0	0
31	12884 Hz	0	0.045299999	0
32	12918 Hz	0	0	0
33	13640 Hz	0	0	0
34	13697 Hz	0	0	0
35	13890 Hz	0	0	0

Sum		99.8476989	99.2761002	99.8481971
