Mode	Frequency	Participation X	Participation Y	Participation Z
1	26.41 Hz	66.098702	0	0.749999983
2	26.45 Hz	0.751199992	0	66.1315024
3	37.93 Hz	0.0001	0	0
4	599.8 Hz	32.3648006	0.0096	0.626299996
5	602.5 Hz	0.6269	0.064400001	32.3121011
6	609.2 Hz	0.0013	99.0338981	0.023400001
7	3297 Hz	0	0	0
8	3301 Hz	0	0	0
9	3558 Hz	0	0	0
10	3559 Hz	0	0	0
11	3971 Hz	0	0	0
12	3988 Hz	0	0	0
13	4656 Hz	0.0001	0	0.0014
14	4656 Hz	0.0014	0	0.0001
15	4765 Hz	0	0	0
16	4768 Hz	0	0	0
17	4843 Hz	0	0.109000003	0
18	5243 Hz	0	0	0
19	5252 Hz	0	0	0
20	5417 Hz	0	0	0
21	5419 Hz	0	0	0
22	5627 Hz	0	0	0
23	5628 Hz	0	0	0
24	5793 Hz	0	0	0
25	5858 Hz	0	0	0
26	5882 Hz	0.0032	0	0.0003
27	5882 Hz	0.0003	0	0.0032
28	5903 Hz	0	0	0
29	5906 Hz	0	0	0
30	6050 Hz	0	0.047900001	0
31	6053 Hz	0	0.0004	0
32	6078 Hz	0	0	0
33	6441 Hz	0	0	0
34	6469 Hz	0	0	0
35	6473 Hz	0	0	0

Sum		99.8480025	99.2651981	99.8483035
