Mode	Frequency	Participation X	Participation Y	Participation Z
1	66.4 Hz	0	99.0778983	0.0003
2	78.19 Hz	28.5650015	0	1.76749993
3	78.38 Hz	1.77480001	0.0011	28.5447001
4	326.5 Hz	0	0	0
5	326.9 Hz	0	0	0
6	350.7 Hz	0	0	0
7	350.7 Hz	0	0	0
8	389 Hz	0	0	0
9	390.6 Hz	0	0	0
10	462.6 Hz	0.005	0	0.0003
11	462.6 Hz	0.0003	0	0.0051
12	465 Hz	0.0011	0	0
13	465.2 Hz	0	0	0.0009
14	487.1 Hz	0	0.157399999	0
15	520.8 Hz	0	0	0
16	521.6 Hz	0	0	0
17	537.3 Hz	0	0	0
18	537.5 Hz	0	0	0
19	564.2 Hz	0.0009	0	0.0004
20	564.2 Hz	0.0004	0	0.0009
21	572.2 Hz	0	0	0
22	574.6 Hz	0	0	0
23	575 Hz	0	0	0
24	578.6 Hz	0	0	0
25	588.7 Hz	0.0045	0	0
26	588.8 Hz	0	0	0.0046
27	597.8 Hz	0	0	0
28	599.9 Hz	0	0	0
29	607.9 Hz	0	0.060600002	0
30	641.6 Hz	0	0	0
31	643 Hz	0	0	0
32	644 Hz	0	0	0
33	651.7 Hz	0	0	0
34	652.2 Hz	0	0	0
35	668.6 Hz	0	0	0

Sum		30.3520015	99.2969983	30.3247001
