Mode	Frequency	Participation X	Participation Y	Participation Z
1	4.783 Hz	0	0.012300001	68.2339013
2	5.33 Hz	0	79.8126996	0.0098
3	9.003 Hz	0	0.0268	0.052499998
4	80.29 Hz	0	0.0002	31.6024005
5	100.4 Hz	0	20.0463995	0.0003
6	397.6 Hz	7.4010998	0	0
7	805 Hz	0.0003	0	0
8	986.2 Hz	91.4036989	0	0
9	1400 Hz	0	0	0
10	2356 Hz	0	0.0003	0
11	2745 Hz	1.0605	0	0
12	4332 Hz	0	0.0004	0
13	4433 Hz	0	0	0
14	4783 Hz	0	0	0
15	4974 Hz	0	0	0
16	5553 Hz	0	0.041199999	0.0049
17	5568 Hz	0	0.0048	0.041899999
18	6929 Hz	0.0136	0	0
19	7026 Hz	0	0.0004	0
20	9574 Hz	0	0	0
21	9582 Hz	0	0	0
22	10028 Hz	0	0.0001	0
23	11846 Hz	0.004	0	0
24	12135 Hz	0	0	0
25	12264 Hz	0	0.0001	0
26	12598 Hz	0.0098	0	0
27	13410 Hz	0	0	0.0002
28	15048 Hz	0	0.016	0.0011
29	15096 Hz	0	0.0011	0.015399999
30	15143 Hz	0	0	0.0001
31	15322 Hz	0	0	0.0009
32	16167 Hz	0	0.0004	0
33	17178 Hz	0	0	0
34	17334 Hz	0	0	0
35	17406 Hz	0	0	0

Sum		99.8929987	99.9631991	99.9634018
