Mode	Frequency	Participation X	Participation Y	Participation Z
1	3.192 Hz	0	0.011	68.2322979
2	3.551 Hz	0	79.8210979	0.009
3	6.057 Hz	0	0.014800001	0.051799999
4	53.68 Hz	0	0.0002	31.6056013
5	67.09 Hz	0	20.0513005	0.0003
6	265.6 Hz	7.39490017	0	0
7	540.1 Hz	0.0003	0	0
8	659.5 Hz	91.4126992	0	0
9	936.5 Hz	0	0	0
10	1580 Hz	0	0.0003	0
11	1836 Hz	1.0578	0	0
12	2903 Hz	0	0.0004	0
13	2978 Hz	0	0	0
14	3201 Hz	0	0	0
15	3335 Hz	0	0	0
16	3712 Hz	0	0.0413	0.0048
17	3722 Hz	0	0.0047	0.042
18	4637 Hz	0.0134	0	0
19	4705 Hz	0	0.0004	0
20	6409 Hz	0	0	0
21	6418 Hz	0	0	0
22	6731 Hz	0	0.0001	0
23	7929 Hz	0.0041	0	0
24	8170 Hz	0	0	0
25	8216 Hz	0	0.0001	0
26	8432 Hz	0.0096	0	0
27	8975 Hz	0	0	0.0002
28	10063 Hz	0	0.0161	0.0011
29	10094 Hz	0	0.0011	0.015599999
30	10145 Hz	0	0	0
31	10255 Hz	0	0	0.0008
32	10861 Hz	0	0.0004	0
33	11433 Hz	0	0	0
34	11532 Hz	0	0	0
35	11586 Hz	0	0	0

Sum		99.8927994	99.9632984	99.9634992
