Mode	Frequency	Participation X	Participation Y	Participation Z
1	3.196 Hz	0	0.011	68.2322979
2	3.555 Hz	0	79.8210979	0.009
3	6.064 Hz	0	0.014800001	0.051799999
4	53.74 Hz	0	0.0002	31.6056013
5	67.17 Hz	0	20.0513005	0.0003
6	265.9 Hz	7.39490017	0	0
7	540.8 Hz	0.0003	0	0
8	660.3 Hz	91.4126992	0	0
9	937.6 Hz	0	0	0
10	1582 Hz	0	0.0003	0
11	1838 Hz	1.0578	0	0
12	2907 Hz	0	0.0004	0
13	2981 Hz	0	0	0
14	3204 Hz	0	0	0
15	3339 Hz	0	0	0
16	3716 Hz	0	0.0413	0.0048
17	3726 Hz	0	0.0047	0.042
18	4642 Hz	0.0134	0	0
19	4711 Hz	0	0.0004	0
20	6417 Hz	0	0	0
21	6426 Hz	0	0	0
22	6739 Hz	0	0.0001	0
23	7938 Hz	0.0041	0	0
24	8180 Hz	0	0	0
25	8226 Hz	0	0.0001	0
26	8442 Hz	0.0096	0	0
27	8986 Hz	0	0	0.0002
28	10074 Hz	0	0.0161	0.0011
29	10105 Hz	0	0.0011	0.015599999
30	10157 Hz	0	0	0
31	10267 Hz	0	0	0.0008
32	10874 Hz	0	0.0004	0
33	11447 Hz	0	0	0
34	11546 Hz	0	0	0
35	11600 Hz	0	0	0

Sum		99.8927994	99.9632984	99.9634992
