Mode	Frequency	Participation X	Participation Y	Participation Z
1	3.468 Hz	0	0.0093	68.2277024
2	3.864 Hz	0	79.8371971	0.0075
3	6.416 Hz	0	0.012	0.067899999
4	57.67 Hz	0	0.0002	31.5955013
5	72.1 Hz	0	20.0397	0.0003
6	285.7 Hz	7.40630031	0	0
7	576.6 Hz	0.0003	0	0
8	708.1 Hz	91.3962007	0	0
9	1005 Hz	0	0	0
10	1688 Hz	0	0.0003	0
11	1971 Hz	1.06279999	0	0
12	3106 Hz	0	0.0004	0
13	3172 Hz	0	0	0
14	3433 Hz	0	0	0
15	3565 Hz	0	0	0
16	3989 Hz	0	0.0409	0.0051
17	3999 Hz	0	0.005	0.0416
18	4972 Hz	0.0138	0	0
19	5039 Hz	0	0.0004	0
20	6868 Hz	0	0	0
21	6872 Hz	0	0	0
22	7181 Hz	0	0.0001	0
23	8500 Hz	0.0039	0	0
24	8669 Hz	0	0	0
25	8794 Hz	0	0.0001	0
26	9039 Hz	0.0099	0	0
27	9622 Hz	0	0	0.0002
28	10806 Hz	0	0.016	0.0012
29	10841 Hz	0	0.0012	0.0151
30	10858 Hz	0	0	0.0002
31	10995 Hz	0	0	0.0011
32	11569 Hz	0	0.0004	0
33	12380 Hz	0	0	0
34	12497 Hz	0	0	0
35	12548 Hz	0	0	0

Sum		99.893201	99.963197	99.9634037
