Mode	Frequency	Participation X	Participation Y	Participation Z
1	0 Hz	9.82920006	0.043700001	0.1666
2	0 Hz	73.0346024	0.0036	0.119099999
3	0 Hz	0.023999999	11.3572001	60.7900023
4	356.5 Hz	10.8340003	0.0772	0.0099
5	576.4 Hz	0.507300021	0.0068	0.0087
6	1107 Hz	2.43999995	0.34680001	0.061599998
7	1451 Hz	0.0068	0.131600001	0.0002
8	1964 Hz	0.866299961	0.305499998	0.267500011
9	2214 Hz	0.175599998	0.587699981	0.0241
10	2517 Hz	0.0034	0.1299	0.0351
11	2871 Hz	0.058400002	2.0939	0.099199999
12	3298 Hz	0.189499999	3.08209993	0.778499991
13	3701 Hz	0.0001	29.4328004	2.76030004
14	4007 Hz	0.183700002	46.2235987	6.56090006
15	4754 Hz	0.169399998	1.41000003	0.0112
16	4857 Hz	0.0825	2.19269991	0.766699994
17	5721 Hz	0.124300004	0.590900006	0.841899961
18	5839 Hz	0.029600001	0.317699998	3.97249982
19	6215 Hz	0.048700001	0.254200003	0.640399987
20	6646 Hz	0.0166	0.0044	0.0001
21	6951 Hz	0.038400001	0.118100003	12.0425001
22	7330 Hz	0.073899998	0.074500003	0.785700046
23	7661 Hz	0.0022	0.320699997	6.83180019
24	8218 Hz	0.140099996	0.139300001	0.042299999
25	8941 Hz	0.0095	0.016	0.310999993
26	9010 Hz	0.0005	0.0082	0.304599991
27	10414 Hz	0.056800002	0.0695	0.0197
28	10840 Hz	0.056399999	0.0045	0.073600002
29	11274 Hz	0.031100001	0.025099999	0.0227
30	11812 Hz	0.0044	0.0082	0.0182
31	12079 Hz	0.0025	0.0003	0.049100001
32	12306 Hz	0.0027	0.0002	0.172900001
33	13332 Hz	0.0019	0.0004	0.0658
34	13487 Hz	0.0321	0.0009	0.026299999
35	14146 Hz	0.061699998	0.017499999	0.0003

Sum		99.1382027	99.3956991	98.6810025
