Mode	Frequency	Participation X	Participation Y	Participation Z
1	0 Hz	10.0382	10.0947	52.9677987
2	0 Hz	68.6715007	1.30850002	8.10649991
3	1.867E-04 Hz	4.17810008	0.0014	0.0013
4	255.5 Hz	10.8535998	0.077099999	0.01
5	412.5 Hz	0.4801	0.0072	0.0086
6	793.2 Hz	2.43810005	0.343600009	0.061300001
7	1042 Hz	0.0093	0.136600004	0.0002
8	1410 Hz	0.887100026	0.315100001	0.270000007
9	1592 Hz	0.161599996	0.584300002	0.0208
10	1808 Hz	0.0047	0.120599999	0.0371
11	2068 Hz	0.059800001	2.14530006	0.1009
12	2368 Hz	0.189299998	3.11760008	0.777000003
13	2660 Hz	0.0001	29.0455997	2.69360002
14	2880 Hz	0.182699994	46.6228992	6.58160001
15	3415 Hz	0.153600005	1.1767	0.0268
16	3500 Hz	0.100599998	2.37419996	0.739799999
17	4113 Hz	0.115599995	0.544100022	1.00919995
18	4205 Hz	0.036500001	0.350499991	3.97740006
19	4481 Hz	0.049599999	0.246699993	0.584900007
20	4781 Hz	0.0143	0.002	0.0055
21	5003 Hz	0.039500001	0.110700005	12.0686002
22	5285 Hz	0.076700002	0.066600001	0.920899957
23	5517 Hz	0.0012	0.322500011	6.5948002
24	5920 Hz	0.139700004	0.132699998	0.052900001
25	6439 Hz	0.0081	0.016700001	0.302800001
26	6483 Hz	0.0005	0.0078	0.303100003
27	7515 Hz	0.060099998	0.069100002	0.0186
28	7806 Hz	0.051899999	0.0035	0.0765
29	8117 Hz	0.031599999	0.024199999	0.021699999
30	8515 Hz	0.0052	0.0087	0.0174
31	8722 Hz	0.0025	0.0002	0.0497
32	8880 Hz	0.0027	0.0002	0.170499994
33	9615 Hz	0.0017	0.0004	0.063299999
34	9713 Hz	0.031199999	0.0009	0.026100001
35	10210 Hz	0.065300002	0.017100001	0.0003

Sum		99.1423006	99.395999	98.6674991
