Mode	Frequency	Participation X	Participation Y	Participation Z
1	0 Hz	63.8417006	0.0497	0.104899995
2	0 Hz	2.97870003	10.1598002	55.0473988
3	0 Hz	16.0674006	1.19500002	5.92340007
4	51.95 Hz	10.9302998	0.076600001	0.0103
5	83.45 Hz	0.370300002	0.0089	0.0083
6	161.1 Hz	2.42410004	0.33160001	0.060199999
7	214.2 Hz	0.0226	0.158200006	0.0001
8	289.6 Hz	0.972099975	0.359200011	0.278700003
9	329.5 Hz	0.107200001	0.572999986	0.0092
10	372.9 Hz	0.012899999	0.082999998	0.046099999
11	431.6 Hz	0.065	2.33839992	0.104
12	487.8 Hz	0.190100004	3.29979993	0.765699986
13	550.5 Hz	0.0001	25.486201	2.18640007
14	596.4 Hz	0.174199999	50.0131011	6.78599998
15	704.2 Hz	0.108199997	0.671900017	0.092299999
16	733.8 Hz	0.156899996	2.82530002	0.641399994
17	850.8 Hz	0.084300002	0.435099984	1.63700003
18	877.8 Hz	0.059399998	0.420999993	4.08490002
19	940.6 Hz	0.051699998	0.215699989	0.3577
20	993.7 Hz	0.0056	0.0021	0.112200005
21	1042 Hz	0.0455	0.067600003	12.0798998
22	1110 Hz	0.085900002	0.033099999	1.85039993
23	1153 Hz	0.0011	0.327700004	5.28969988
24	1239 Hz	0.135100004	0.109599996	0.116400002
25	1347 Hz	0.0041	0.0249	0.523399981
26	1350 Hz	0	0.0002	0.0371
27	1586 Hz	0.077899999	0.069000002	0.0115
28	1632 Hz	0.028899999	0.0003	0.091
29	1694 Hz	0.032299999	0.0201	0.015399999
30	1792 Hz	0.0103	0.011	0.0199
31	1846 Hz	0.0025	0.0001	0.049000001
32	1873 Hz	0.0031	0.0004	0.159700005
33	2023 Hz	0.0008	0.0004	0.048799999
34	2035 Hz	0.0268	0.0011	0.026100001
35	2155 Hz	0.0765	0.0141	0.0003

Sum		99.1536009	99.3832022	98.5747985
