Mode	Frequency	Participation X	Participation Y	Participation Z
1	91.76 Hz	7.55909979	0.0001	51.7217994
2	206.7 Hz	0	35.7502997	0
3	412.1 Hz	0	27.0303011	0
4	421.1 Hz	0.0001	0.0049	0.0011
5	484.3 Hz	0	5.17660007	0
6	789.3 Hz	0.013499999	0.0011	0.040700001
7	840.5 Hz	0.0002	8.85590017	0.0005
8	937.5 Hz	0.0001	1.78750008	0.0002
9	1011 Hz	11.5668997	0	45.6762999
10	1147 Hz	0.019799999	0	0.158899999
11	1559 Hz	0.077699998	0	0.0193
12	1602 Hz	0.058699999	0.0001	0.0009
13	1655 Hz	0	1.70959998	0
14	1730 Hz	0	0.1086	0
15	1747 Hz	0	0.0018	0
16	2237 Hz	0.0001	0	0.0003
17	2412 Hz	1.10339997	0.0001	0.002
18	2550 Hz	0.0025	0.034699999	0
19	2708 Hz	0.056499999	0.0014	0.0007
20	2789 Hz	0.0145	4.10370007	0.0001
21	2811 Hz	3.66020016	0.0055	0.0155
22	2877 Hz	0.119600003	0.482500019	0.0003
23	2907 Hz	68.7449992	0.0002	0.138100004
24	2997 Hz	0.0027	0.3761	0
25	3614 Hz	0	0.0063	0.0023
26	3655 Hz	0.225199992	0.019000001	0.0001
27	3694 Hz	0.832999963	0.292099989	0.001
28	3717 Hz	0.098699995	3.28299999	0
29	3813 Hz	0.0024	0.0004	0
30	4028 Hz	0	3.6621999	0
31	4118 Hz	0.055	0.0052	0.0053
32	4397 Hz	0.012700001	0	0.001
33	4444 Hz	0	0.0223	0
34	4526 Hz	0	0.235700002	0
35	4714 Hz	0	0.013099999	0

Sum		94.2275988	92.9703011	97.7863993
