Mode	Frequency	Participation X	Participation Y	Participation Z
1	336.1 Hz	0	0	0
2	471.2 Hz	21.1006001	0	18.7873006
3	471.2 Hz	18.7925994	0	21.1043999
4	566.8 Hz	0	0	0
5	828.8 Hz	0.0001	10.5857	0.0001
6	919.2 Hz	23.7188995	0	0.442000013
7	919.2 Hz	0.443200022	0	23.7216994
8	1009 Hz	0	0	0
9	1304 Hz	0	0	0
10	1396 Hz	0	0	0
11	1611 Hz	1.17739998	0	1.1345
12	1612 Hz	1.13380002	0	1.17629999
13	1646 Hz	0.0138	0	0.019599999
14	1646 Hz	0.0197	0	0.013
15	1972 Hz	0	4.48159985	0
16	2276 Hz	0	0	0
17	2488 Hz	0	0	0
18	2800 Hz	0	0	0
19	2935 Hz	0	0	0
20	3058 Hz	0.104	0	0.373900007
21	3059 Hz	0.374200009	0	0.104100001
22	3305 Hz	0.012899999	0	1.51190003
23	3305 Hz	1.51279997	0.0002	0.012899999
24	3416 Hz	0.0003	0.0005	0
25	3417 Hz	0.0001	0.0197	0.0004
26	3439 Hz	0	12.1117003	0
27	3721 Hz	0	1.26630003	0
28	3869 Hz	0	0.0002	0
29	4416 Hz	0	0.0002	0
30	4575 Hz	0	0.0001	0.0001
31	4839 Hz	7.40580037	0.0001	2.55210008
32	4840 Hz	2.56299991	0	7.41980001
33	4982 Hz	0	57.6824009	0
34	5023 Hz	0.0002	0.013299999	0.0032
35	5052 Hz	0	0.0001	0.0001

Sum		78.3733993	86.1621011	78.3774
