Mode	Frequency	Participation X	Participation Y	Participation Z
1	680.8 Hz	0.0017	0	0.0002
2	681 Hz	0.0023	0.0001	0.0235
3	718.6 Hz	1.65180005	0.0001	36.3662004
4	729.6 Hz	36.4538014	0.0001	1.65049993
5	1774 Hz	0	0	0
6	1775 Hz	0	0	0
7	2243 Hz	0	0	0
8	3256 Hz	0	0	0
9	3257 Hz	0	0	0
10	3661 Hz	0.0002	90.7730997	0.0001
11	5042 Hz	0	0	0
12	5044 Hz	0	0	0
13	7090 Hz	0	0	0
14	7103 Hz	0	0	0
15	9392 Hz	0.0021	0	0.560999988
16	9406 Hz	0.092199998	0	0.308599998
17	9420 Hz	2.15550009	0	41.3787991
18	9436 Hz	42.0965999	0.0001	2.17599999
19	11936 Hz	0	0	0
20	11962 Hz	0.0001	0	0
21	14061 Hz	0	0.146099995	0
22	14270 Hz	0	0	0
23	14275 Hz	0	0	0
24	14704 Hz	0.0069	0	0.786700007
25	14729 Hz	0.926300045	0	0.065100001
26	14736 Hz	0.047999999	0	0.256099994
27	14741 Hz	0.945500005	0	0.023200001
28	14767 Hz	0.084400002	0.0001	1.0156
29	14784 Hz	0.161100004	0	0.026299999
30	15013 Hz	0.0001	0.057600002	0.0001
31	15434 Hz	0	0	0.0002
32	15437 Hz	0.0002	0	0
33	15610 Hz	0.01	0	0.0098
34	15616 Hz	0.012700001	0	0.0037
35	15644 Hz	1.11300005	0	3.50929983

Sum		85.7645016	90.9772997	88.1609993
