Mode	Frequency	Participation X	Participation Y	Participation Z
1	915.1 Hz	0	0	0
2	915.3 Hz	0	0	0
3	1640 Hz	0	0	0
4	1642 Hz	0	0	0
5	1801 Hz	7.58989975	0	60.4058981
6	1802 Hz	60.4012012	0	7.58839995
7	2617 Hz	0	0	0
8	2619 Hz	0	0	0
9	3081 Hz	0	0	0
10	3083 Hz	0	0	0
11	3310 Hz	0	0	0
12	3310 Hz	0	0	0
13	3564 Hz	0	0	0
14	3566 Hz	0	0	0
15	3871 Hz	0	0	0
16	4836 Hz	0	0	0
17	4840 Hz	0	0	0
18	4872 Hz	0	0	0
19	4873 Hz	0	0	0
20	5007 Hz	0	0	0
21	5011 Hz	0	0	0
22	5403 Hz	0.0001	0	0
23	5408 Hz	0	0	0.0002
24	5867 Hz	4.41670008	0	15.5347005
25	5867 Hz	15.5355006	0	4.4174999
26	6268 Hz	0	0.0033	0
27	6277 Hz	0	0.0039	0
28	6296 Hz	0	79.0107012	0
29	6738 Hz	0	0	0
30	6746 Hz	0	0.0001	0
31	6860 Hz	0	0	0
32	6862 Hz	0	0.0001	0
33	7418 Hz	0	0	0
34	7421 Hz	0	0	0
35	7710 Hz	0	0	0

Sum		87.9434017	79.0181012	87.9466984
