Mode	Frequency	Participation X	Participation Y	Participation Z
1	2089 Hz	42.197299	0	22.9259998
2	2089 Hz	22.9316995	0	42.1912998
3	2110 Hz	0.0015	0	0.0033
4	2301 Hz	0	0	0
5	3033 Hz	0	0	0
6	4110 Hz	3.93889993	0	4.12140004
7	4112 Hz	4.13269997	0	3.95479985
8	4400 Hz	0	0	0
9	4495 Hz	0	0	0
10	4955 Hz	1.06680002	0	0.591300009
11	4956 Hz	0.596500002	0	1.0702
12	5409 Hz	0.463999994	0	0.994800031
13	5410 Hz	0.992500037	0	0.465099979
14	5663 Hz	0	0.073500001	0
15	6058 Hz	0	0.182300003	0
16	6376 Hz	0	0	0
17	6947 Hz	0	0.077699998	0
18	7022 Hz	0	0	0
19	7222 Hz	0.182300003	0	0.9509
20	7223 Hz	0.947299972	0	0.181299995
21	8440 Hz	0	18.4165001	0
22	8546 Hz	0	61.3029003	0
23	8975 Hz	0	0.0003	0
24	9244 Hz	5.12779988	0	5.39680012
25	9244 Hz	5.39989993	0	5.12470007
26	9259 Hz	0.0001	0.0003	0.0058
27	9680 Hz	0.0948	0	0.618400006
28	9683 Hz	0.61590001	0	0.093899999
29	9955 Hz	0	0	0
30	10675 Hz	0	0.0104	0
31	11006 Hz	0	0	0
32	11838 Hz	0.0001	0	0.0003
33	11839 Hz	0.0003	0	0
34	12204 Hz	0	0	0
35	12385 Hz	0.0102	0	0.0113
36	12390 Hz	0.0113	0	0.0105
37	12797 Hz	0.0034	0	0.380100007
38	12800 Hz	0.3792	0	0.0033
39	13152 Hz	0	0	0
40	13522 Hz	0.033800001	0	0.045699999
41	13524 Hz	0.046899999	0	0.034699999
42	13605 Hz	0	0.0011	0.0002
43	13678 Hz	0	0	0
44	15385 Hz	0.006	0	0.0021
45	15386 Hz	0.002	0	0.006
46	15536 Hz	0	0	0
47	15906 Hz	0	0	0
48	16065 Hz	0	0	0
49	16565 Hz	0.092800002	0	0.425100001
50	16569 Hz	0.425900007	0	0.093400001

Sum		89.7018982	80.0650004	89.7026997
