Mode	Frequency	Participation X	Participation Y	Participation Z
1	38.77 Hz	15.9513995	0.0077	54.1073978
2	45.47 Hz	1.77759994	74.6784985	0.741499988
3	128.9 Hz	0.0535	2.92850006	1.0884
4	1029 Hz	0.039999999	0.0004	0.012899999
5	1149 Hz	74.0585029	0.848499965	19.6496993
6	1366 Hz	0.0023	4.65370007	0.3211
7	1504 Hz	0.083199999	0.0001	0.023000001
8	1786 Hz	0.382400001	1.92879997	1.04970001
9	2056 Hz	6.42749965	0.280999998	18.3946997
10	2303 Hz	0.0001	0.0145	0.0041
11	2380 Hz	0.1575	3.5668999	3.75490002
12	2620 Hz	0.350899994	0.0002	0.0043
13	2700 Hz	0.0001	0.0098	0.147000002
14	3125 Hz	0.0023	1.93680003	0.0031
15	3223 Hz	0	0.0006	0.0165
16	3410 Hz	0.0077	0.0006	0.0016
17	3580 Hz	0.122900004	1.93530004	0.0164
18	3920 Hz	0.102199998	0.510799978	0.087300001
19	4072 Hz	0.0033	0	0
20	4326 Hz	0.0034	1.11149997	0.212400011
21	4465 Hz	0.015399999	0.0313	0.0003
22	4581 Hz	0.127200002	0.171900005	0.0039
23	4787 Hz	0.0001	0.0052	0.0009
24	5146 Hz	0	0.0009	0.0002
25	5246 Hz	0.0017	0.0013	0.0002
26	5446 Hz	0.0072	0.419999985	0.0015
27	5721 Hz	0.0001	0.0002	0
28	5800 Hz	0.0013	0.1727	0.0149
29	6022 Hz	0.017299999	0.0027	0.044
30	6433 Hz	0.002	0.0001	0.0002
31	6685 Hz	0.0005	0.0002	0.0003
32	6714 Hz	0.0008	0.0062	0.0003
33	6908 Hz	0.0049	0.689700013	0.0063
34	7110 Hz	0.0002	0.001	0.0026
35	7176 Hz	0.0117	0.0006	0.0059

Sum		99.717202	95.9181985	99.7174968
