Mode	Frequency	Participation X	Participation Y	Participation Z
1	72.73 Hz	15.8052996	0.0002	54.1637003
2	88.75 Hz	1.89149994	74.7892976	0.586500019
3	253.7 Hz	0.063999998	2.84000002	1.15909996
4	2015 Hz	0.040399999	0.0004	0.012899999
5	2236 Hz	74.0942001	0.762999989	19.4036007
6	2668 Hz	0.0037	4.84169982	0.396399992
7	2947 Hz	0.076199998	0.0001	0.021100001
8	3498 Hz	0.417899992	1.99689995	1.04569998
9	3964 Hz	6.35989979	0.307799992	18.3503002
10	4512 Hz	0.0001	0.0447	0.031
11	4604 Hz	0.196600007	3.50469984	3.97629999
12	5124 Hz	0.331899989	0.007	0
13	5286 Hz	0.0001	0.0078	0.132799998
14	5990 Hz	0.0023	2.1125	0.0036
15	6317 Hz	0	0.0011	0.0142
16	6685 Hz	0.0072	0.0003	0.0017
17	6972 Hz	0.140199997	1.88260004	0.0239
18	7616 Hz	0.087599998	0.259099994	0.097599998
19	7981 Hz	0.0029	0.0018	0
20	8351 Hz	0.0057	1.14160003	0.214
21	8742 Hz	0.0229	0.0037	0.0018
22	8875 Hz	0.113900006	0.079399999	0.0005
23	9385 Hz	0.0002	0.004	0.0008
24	10074 Hz	0	0.001	0.0001
25	10290 Hz	0.0016	0.0029	0.0002
26	10649 Hz	0.0068	0.478600012	0.0011
27	11211 Hz	0.0001	0.0006	0
28	11339 Hz	0.0005	0.149499997	0.0108
29	11689 Hz	0.017299999	0.003	0.046899999
30	12617 Hz	0.0019	0.0003	0.0002
31	13105 Hz	0.0005	0.0005	0.0003
32	13172 Hz	0.0009	0.0128	0.0004
33	13430 Hz	0.0055	0.882699993	0.0077
34	13936 Hz	0.0002	0.0011	0.0029
35	14007 Hz	0.0107	0.0003	0.0047

Sum		99.7106994	96.1229973	99.7128012
