Mode	Frequency	Participation X	Participation Y	Participation Z
1	44.91 Hz	16.4831996	0.275500002	53.4655988
2	48.99 Hz	1.27579998	74.3412971	1.57140009
3	138.4 Hz	0.034100001	2.98030004	0.928399991
4	1095 Hz	0.034200001	0.0004	0.0113
5	1250 Hz	73.8142014	0.961000007	19.9474007
6	1459 Hz	0.047	4.35060002	0.208900007
7	1601 Hz	0.109399995	0.0002	0.029900001
8	1902 Hz	0.398000004	1.84000004	1.0094
9	2267 Hz	6.57360032	0.26779999	18.0543005
10	2450 Hz	0.0003	0.0049	0.0002
11	2586 Hz	0.075200002	3.49159986	3.83349992
12	2801 Hz	0.410899986	0.036800001	0.030700001
13	2875 Hz	0.0001	0.017299999	0.20620001
14	3432 Hz	0.0001	0.0482	0.0235
15	3444 Hz	0.003	1.46190003	0.0004
16	3628 Hz	0.009	0.0011	0.0017
17	3846 Hz	0.102900004	1.93310007	0.0099
18	4247 Hz	0.136400003	1.05490005	0.086799997
19	4337 Hz	0.0066	0.0068	0
20	4705 Hz	0.0018	0.7338	0.177600002
21	4780 Hz	0.019799999	0.347899995	0.017299999
22	5001 Hz	0.127200002	0.510299997	0.015399999
23	5094 Hz	0	0.016900001	0.0017
24	5482 Hz	0	0.0007	0.0002
25	5589 Hz	0.0022	0	0.0001
26	5827 Hz	0.0081	0.322100008	0.0022
27	6096 Hz	0.0001	0	0
28	6228 Hz	0.0032	0.259599998	0.021899999
29	6504 Hz	0.0183	0.0061	0.044
30	6846 Hz	0.0023	0	0.0002
31	7127 Hz	0.0007	0	0.0004
32	7156 Hz	0.0009	0.0027	0.0001
33	7443 Hz	0.0045	0.406900002	0.0043
34	7587 Hz	0.0002	0.0005	0.0024
35	7701 Hz	0.0143	0.0005	0.0081

Sum		99.7176013	95.6816973	99.7154001
