Mode	Frequency	Participation X	Participation Y	Participation Z
1	42.86 Hz	16.2008002	0.0788	53.8843989
2	48.13 Hz	1.55020002	74.5528996	1.07580004
3	136 Hz	0.041800001	2.97100004	0.997199956
4	1081 Hz	0.036599999	0.0004	0.012
5	1222 Hz	73.9275992	0.923500024	19.8567003
6	1438 Hz	0.023999999	4.46109995	0.248000002
7	1580 Hz	0.0971	0.0002	0.0267
8	1877 Hz	0.383100007	1.87030006	1.02629997
9	2206 Hz	6.51910007	0.267599989	18.2435006
10	2419 Hz	0.0003	0.0067	0.0001
11	2534 Hz	0.106699998	3.54349986	3.73650007
12	2760 Hz	0.384499994	0.015399999	0.0178
13	2838 Hz	0.0001	0.0137	0.177600002
14	3357 Hz	0.0026	1.68820005	0.003
15	3387 Hz	0	0.0004	0.0191
16	3582 Hz	0.0085	0.0009	0.0016
17	3784 Hz	0.109300006	1.94690004	0.0117
18	4162 Hz	0.122199999	0.843400043	0.084300002
19	4279 Hz	0.0046	0.0016	0
20	4612 Hz	0.0016	0.961000007	0.200299989
21	4704 Hz	0.0164	0.151900004	0.0029
22	4886 Hz	0.130500004	0.351299997	0.0107
23	5029 Hz	0	0.0089	0.0012
24	5410 Hz	0	0.0007	0.0002
25	5514 Hz	0.002	0.0003	0.0001
26	5739 Hz	0.0077	0.359599991	0.0019
27	6014 Hz	0.0001	0.0001	0
28	6123 Hz	0.0024	0.216499995	0.0193
29	6386 Hz	0.017699999	0.0039	0.0432
30	6757 Hz	0.0022	0.0001	0.0002
31	7028 Hz	0.0006	0.0001	0.0004
32	7057 Hz	0.0008	0.0037	0.0002
33	7315 Hz	0.0045	0.505500007	0.005
34	7480 Hz	0.0002	0.0006	0.0024
35	7576 Hz	0.0132	0.0006	0.0072

Sum		99.7189995	95.7512997	99.7174999
