Mode	Frequency	Participation X	Participation Y	Participation Z
1	35.55 Hz	16.2007004	0.0787	53.8847029
2	39.91 Hz	1.55020002	74.5528996	1.07570002
3	112.8 Hz	0.041800001	2.97100004	0.997100025
4	896.3 Hz	0.036599999	0.0004	0.012
5	1013 Hz	73.9275992	0.923500024	19.8567003
6	1193 Hz	0.023999999	4.46109995	0.248000002
7	1311 Hz	0.0971	0.0002	0.0267
8	1557 Hz	0.383100007	1.87020004	1.02629997
9	1830 Hz	6.51910007	0.267599989	18.2435006
10	2006 Hz	0.0003	0.0067	0.0001
11	2102 Hz	0.106699998	3.54349986	3.73650007
12	2289 Hz	0.384499994	0.015399999	0.0178
13	2353 Hz	0.0001	0.0137	0.177600002
14	2784 Hz	0.0026	1.68820005	0.003
15	2809 Hz	0	0.0004	0.0191
16	2971 Hz	0.0085	0.0009	0.0016
17	3138 Hz	0.109300006	1.94690004	0.0117
18	3452 Hz	0.122199999	0.843400043	0.084300002
19	3549 Hz	0.0046	0.0016	0
20	3825 Hz	0.0016	0.961000007	0.200299989
21	3901 Hz	0.0164	0.151900004	0.0029
22	4052 Hz	0.130500004	0.351299997	0.0107
23	4170 Hz	0	0.0089	0.0012
24	4487 Hz	0	0.0007	0.0002
25	4573 Hz	0.002	0.0003	0.0001
26	4760 Hz	0.0077	0.359599991	0.0019
27	4988 Hz	0.0001	0.0001	0
28	5078 Hz	0.0024	0.216499995	0.0193
29	5297 Hz	0.017699999	0.0039	0.0432
30	5604 Hz	0.0022	0.0001	0.0002
31	5829 Hz	0.0006	0.0001	0.0004
32	5853 Hz	0.0008	0.0037	0.0002
33	6067 Hz	0.0045	0.505500007	0.005
34	6203 Hz	0.0002	0.0006	0.0024
35	6283 Hz	0.0132	0.0006	0.0072

Sum		99.7188997	95.7510996	99.7176039
